Designator,Mid X,Mid Y,Rotation,Layer
C1,102.4,-40.8,270.0,top
C10,94.8,-71.125,90.0,top
C11,94.6,-54.0,90.0,top
C2,102.6,-57.8,270.0,top
C3,103.0,-74.6,270.0,top
C4,102.6,-92.0,270.0,top
C6,98.6,-32.4,0.0,top
C8,95.2,-103.925,90.0,top
C9,94.8,-88.325,90.0,top
CN1,112.69,-42.975,180.0,top
CN10,84.51,-94.55,0.0,top
CN11,84.51,-85.925,0.0,top
CN12,84.51,-77.325,0.0,top
CN13,84.51,-68.75,0.0,top
CN14,84.51,-60.15,0.0,top
CN15,84.51,-51.625,0.0,top
CN16,84.51,-43.025,0.0,top
CN2,112.69,-51.575,180.0,top
CN3,112.69,-60.175,180.0,top
CN4,112.69,-68.775,180.0,top
CN5,112.69,-77.375,180.0,top
CN6,112.69,-85.975,180.0,top
CN7,112.69,-94.575,180.0,top
CN8,112.69,-103.175,180.0,top
CN9,84.51,-103.15,0.0,top
J2,98.6,-26.4,90.0,top
R1,103.2,-29.2,0.0,top
R11,99.2,-76.8,180.0,top
R12,99.2,-75.2,180.0,top
R15,97.6,-83.2,270.0,top
R16,98.0,-79.4,0.0,top
R19,97.8,-49.6,0.0,top
R2,99.0,-29.2,180.0,top
R20,97.8,-48.0,0.0,top
R3,87.2,-34.0,0.0,top
R4,87.2,-35.6,180.0,top
R5,89.8,-32.8,90.0,top
R6,101.8,-35.8,0.0,top
R7,98.6,-45.0,180.0,top
R8,98.6,-43.4,180.0,top
U1,95.0,-36.2,180.0,top
U10,94.8,-64.525,90.0,top
U11,94.8,-47.4,90.0,top
U2,102.5,-47.2,270.0,top
U3,102.5,-64.4,270.0,top
U4,102.5,-81.6,270.0,top
U5,102.5,-98.8,270.0,top
U8,94.8,-98.925,90.0,top
U9,94.8,-81.7,90.0,top
